daida,danida
hesaw,hesawa
hesawwa,hesawa
hhesawa,hesawa
esawa,hesawa
heasawa,hesawa
heswa,hesawa
hesawza,hesawa
rwsp,rwssp
rwsssp,rwssp
nrwssp,rwssp
wssp,rwssp
rssp,rwssp
drwssp,rwssp
rw ssp,rwssp
old bank,world bank
w0rld  bank,world bank
unice,unicef
tassaf,tasaf
tasafu,tasaf
tasf,tasaf
taasaf,tasaf
tasa,tasaf
wb / district council,district council
private individul,private individual
dwssp,dwsp
dsp,dwsp
dwspd,dwsp
dwsdp,dwsp
norlad,norad
crs,tcrs
tcrst,tcrs
netherland,netherlands
natherland,netherlands
nerthlands,netherlands
hamref,amref
amrefe,amref
fin water,fini water
finn water,fini water
finwater,fini water
oxfarm,oxfam
rc churc,rc church
missio,mission
jica,jaica
jaic,jaica
rural water supply and sanita,rural water supply and sanitat
madra,adra
ces (gmbh),ces(gmbh)
jeica,jica
sdp,wsdp
wdp,wsdp
kilwater,kiliwater
magadini makiwaru water,magadini-makiwaru water
dmd,dmdd
mkinga  distric cou,mkinga distric coun
africa,african
swidish,swedish
tado,tardo
dwe/anglican church,anglican church
uniceg,unice
unicet,unice
roman cathoric,roman catholic
romam catholic,roman catholic
cocern,concern
concen,concern
tassaf i,tassaf
village,villagers
villaers,villagers
villegers,villagers
villages,villagers
villager,villagers
muwasa,muwsa
villege council,village council
village communi,village council
aic,aict
act,aict
drdp,mdrdp
fiwater,fin water
nddp,ndrdp
kkkt church s,kkkt church
marafin,marafip
marsfip,marafip
water aid/sema,water aid /sema
wate aid/sema,water aid /sema
kaempo,kaemp
national rural (wb),national rural
losakia water supply,losaa-kia water supply
solidame,solidarm
soliderm,solidarm
plan internatio,plan international
tltc,tlc
kirdep,kirde
tanap,tanapa
tridep,ridep
tredep,redep
sauwasa,shawasa
dadis,dads
daids,dads
sda,soda
oda,soda
serikari,serikali
sengerema district council,songea district council
sangea district council,songea district council
dasp,dasip
dassip,dasip
dasiip,dasip
kidep,kidp
church,churc
mtuwasa,tuwasa
mbiusa,mbiuwasa
kata,kalta
holand,holland
desk and chair foundation,the desk and chair foundat
the desk and chair foundati,the desk and chair foundat
oikos e .africa/european union,oikos e.africa/european union
oikos e.africa/ european union,oikos e.africa/european union
peter,peters
filo,ilo
cdg,cdcg
kadp,adp
asdp,adp
adap,adp
dadp,adp
afdp,adp
halmashaur,halmashauri
halmashauli,halmashauri
halimashauli,halmashauri
halimashau,halmashauri
ilo/undp,undp/ilo
iwash,i wash
kalitesi,kalitasi
roman cathoric same,roman cathoric-same
kadip,kadp
bahewasa,hewasa
qwekwin,quwkwin
qwckwin,quwkwin
cefa/rcchurch,rcchurch/cefa
vifaf,vifafi
att/total land care,total land care
tcrs/village community,village community
swisland/mount meru flowers,swisland/ mount meru flowers
lotary club,rotary club
rotaty club,rotary club
sindida yetu,singida yetu
maju mugumu,maji mugumu
people of japan,the people of japan
magoma adpvwc,magoma adp
norad/government,norad /government
dasap,dasp
haam,ham
quick wins,quick wings
tquick wings,quick wings
quickwins,quick wings
quick win,quick wings
makondakonde water population,makonde water population
irish government,isf/government
misri government,isf/government
government /sda,isf/government
msikitini,msikiti
mstiiti,msikiti
dwe/ubalozi wa marekani,ubalozi wa marekani
ubalozi wa marekani/dwe,ubalozi wa marekani
msf/tacare,isf/tacare
tadeo,tado
kdrdp ngo,drdp ngo
aco/germany,a/co germany
afriican reli,african relie
mama,mamad
mosqure,mosque
unicef/african muslim agency,african muslim agency
lcdg,lgcdg
lgcd,lgcdg
france,franc
usa embassy,us embassy
oldadai village community,olgilai village community
qwick win,qwickwin
halmashauri ya manispaa,halmashauri ya manispa tabora
unp/aict,undp/aict
government and community,government/ community
tassaf ii,tassaf i
tasaf ii,tassaf i
wfp/usaid/tnt,wfp/tnt/usaid
institutional,institution
insititutiona,institution
women fo partnership,women for partnership
german missionary,germany misionary
germany missionary,germany misionary
camavita,chamavita
chmavita,chamavita
kanisani,kanisa
kanis,kanisa
suasa,suwasa
oxfarm gb,oxfam gb
mmem,mem
selikali ya kijiji,serikali ya kijiji
anrikana,angrikana
handeni trunk maini,handeni trunk main(
world bank/government,government/ world bank
quik,quick
batist church,baptist church
schoo,school
government/tassaf,government /tassaf
w.d.&.i.,w.d & i.
makonder,makonde
concern/governm,concern /govern
parastatal an,parastatal
village gover,village govt
cristan outrich,christian outrich
christan outrich,christian outrich
semaki,semaki k
hpa,hapa
ngo,ngos
unicef/cspd,unicef/ csp
unice/ cspd,unicef/ csp
rc mission,rc/mission
rc missionary,rc/mission
rc missi,rc/mission
domestic rural development pr,domestic rural development pro
dsdp,ddp
cipro,cpro
serikaru,serikari
lion clu,lions club
care/cipro,cipro/care
jeshi lawokovu,jeshi la wokovu
jeshi la wokovu [cida],jeshi la wokovu
tcrs/care,tcrs /care
tz/japan embass,japan embassy
rcchurch,church
wfp/usaid,usaid/wfp
lgcgd,lcgd
ldcgd,lcgd
government/tcrs,tcrs /government
morovian,moravian
quicklw,quickwi
rotary,rotary i
padi,pad
ballo,balo
bao,balo
nwssp,nrwssp
regwa company of egpty,regwa company of egypt
dbsp,dbspe
tgt,tgts
kijij,kijiji
h/kijiji,kijiji
sweeden,sweden
bra,brad
simav,simavi
netherla,netherland
farm-africa,farm africa
pag church,tag church
tag church vi,tag church
eagt church,tag church
tag church ub,tag church
dwt,dwst
totaland care,totoland care
insututional,institutional
pentecostal church,pentecosta church
tanload,tanroad
zao water spring x,zao water spring
caltas tanzania,cartas tanzania
greineker,greinaker
africa 2000 network/undp,african 2000 network
morrovian,morovian
vicfish,vickfis
nazalet church,nazareth church
enyuati,enyueti
tanz/egypt technical  co-op,tanz egypt technical cooper
wug and ded,wua and ded
mhoranzi,uhoranzi
health  ministry,ministry of healthy
water se,water /sema
mzungu,mzung
norad/ tassaf,norad/ tassaf ii
school administration,school adm9nstrarion
village fou,village fund
afric,africa
vgovernment,government
overnment,government
morad,moradi
mtc,mrtc
morrevian,morrovian
bread of the worl,bread for the wor
singsinga,singasinga
eung am methodist church,eung-am methodist church
sido,sipdo
ilaramataki,laramatak
wdsp,dsp
arab community,arabs community
siter fransis,sister francis
wamissionari wa kikatoriki,wamisionari wa kikatoriki
tasaf/village community,tcrs/village community
ccp,ccpk
bhws,bkhws
raramataki,ilaramataki
mow,mowi
tanzania nea egypt,tanzania /egypt
tanzania na egypt,tanzania /egypt
nyitamboka,nytamboka
msigw,msigwa
vwcvwc,vwcvc
juma,jumaa
bukwang church saint,bukwang church saints
dacip,dacp
comunedi roma,comune di roma
makapuchini,wamakapuchini
bingo foundation germany,bingi foundation in german
pankrasi,pancrasi
babtist,babtest
nazareti,nazaleti
noshad,noshadi
piscop,piscope
taes,taees
mwingereza,waingereza
kamama,kanamama
mamaz,mama
rudep /dwe,dwe/rudep
rudep/dwe,dwe/rudep
ripat,ripati
norad/rudep,rudep/norad
village contributio,villlage contributi
colon,colony
ccps,ccp
samweli,samwel
pentecostal,pentecost
padri,padi
pdi,padi
tasae,tasa
nassan,nasan
unise,uniseg
