,closest_well_id,closest_well_distance,closest_well_subvillage
2,16224,3.6987477656872407,lengurumo
3,43599,0.11962229634482748,mijelejele
8,65009,1.1557368262895018,itungulu
13,71763,0.31347521941613,maini
14,60972,0.26589492133183357,sangamwampuya
17,33896,0.4606228320902002,mdeme
18,27941,0.5738434437957171,amuhama
19,65523,1.005500904973076,matekelo
20,33883,0.5616529340069022,ichimbo
23,33463,0.3156236657575589,kisanzuni
24,61843,0.6954764712799661,kilemba
26,51453,2.3330223981999425,naimba
30,17296,0.9250072527117935,chiloloma
35,16496,0.5568508559930032,seuli
40,16134,0.5739748458657719,katanini street
42,37568,0.2839968951537558,magangasenga
45,57563,0.5242005339353947,matanda
51,14679,0.08766122198179076,kamnyalile
56,39749,0.32722889112912024,kati juu
60,62696,0.0865616282542602,kuvukareli
65,27844,0.24405067500172373,muhintiri
67,59065,0.3593331322511663,mirambi
70,33936,0.23752191129974187,kamwene
71,13963,0.18613746054188032,mahango
72,12238,0.6906738759344027,mahango
73,3051,1.2331360295149787,mtukura
79,29379,0.6693102820544954,mubamba
81,53341,0.6682899487469707,kibunduga
83,37054,1.149312005235445,bulaho
84,45917,1.4428537171225881,tahuru
86,37280,1.0706952968614136,godauni a
89,45874,2.4950137195027633,chiloloma
90,72141,0.3079685141114922,mwigagi
92,42000,0.1963325935045614,ngogomoni
94,29194,0.7215096965734513,kashozi b
95,65989,0.33707177586892845,nyamalebe
99,15030,0.7392234512727515,igegu
101,64831,0.8601069657848923,nselembwe
103,378,0.764167319636562,tuleane
106,9461,2.5750426688146946,ishima
107,35799,0.21123772726953904,mwabakali
108,49735,1.1791684004404097,nzihi b
111,50636,0.9063593507315654,nkoanekoli
114,42725,1.4896649736657683,mkoka
116,22760,0.4626814283841235,kipera njiapanda
122,44191,0.7476534495541297,nyabusozi
127,52515,0.5810790708921553,kitichi
131,54307,0.7059511096412887,marurani kati
139,20549,0.27028112713778385,migege
140,13898,0.2419137751444212,iropa
141,8446,0.35746772354089595,temekelo
148,8476,0.23017513614622837,jj
149,44694,0.09067585727605192,mahango
152,42678,0.17287898703333085,tundwi centre
153,13681,0.14402944952795252,nyamerama
155,62788,4.426231394661902,tuleane
156,55017,0.13297644233754768,simambwe
158,22589,0.5270923992960855,maganju
162,63283,0.15116241010566048,igominyi
165,6985,0.03152433148661458,m/kati
166,70862,1.040189254225535,isevia
167,71008,8.855750598071564,mganza kati
170,3443,0.49215941635353044,kidalini
172,68412,0.09058564695186062,friend's corner
174,43564,3.626992189575674,mzambaraweni
176,57307,1.1128805942842184,moyamayoka
181,63443,0.6066247351832226,ismailiya
182,64234,0.6023926566921046,lengare
186,53085,0.3220199998239756,lutumbi
189,55265,0.30232587344717243,kanalunwa
191,10696,0.3760251569673438,l
192,35192,0.8427591483374611,u
195,56710,0.3558643821885289,dinyanga
198,40931,0.4837107160158818,centre
201,32228,1.5355897064922641,m/kati
203,39912,0.7398589141922167,mahongole a
211,68493,0.006036896649550305,kapamisya
212,54077,0.7026631756053188,barabara 7
213,23984,1.0984816725523407,vimetu
215,36243,0.4462294348644902,kapugi
216,17587,0.20805063955734932,matindigani street
219,3970,0.41465325612566345,iziwira
220,23047,0.5840447335185751,simbo
223,56309,0.6456989783994733,janda juu
226,66430,0.2828598923695924,chakwale mjini
229,45039,1.14342065316783,mbarika
231,1245,0.468579611487798,kabakara
232,51675,1.5539951401742187,mwarufyu
233,12850,2.1886549054350968,mkapita
235,28831,0.8100013129852185,madindika
237,54131,0.17093739644997438,kigugu
242,69183,2.062040380570948,bwawan
245,52319,0.10289006138183578,kagondo kaifo
246,23728,0.3525686078484695,godauni a
247,48649,0.3559033473433663,shebomeza
248,31891,0.26946130368669935,kiwida
250,12094,0.2589268171802247,mdaga
251,67817,0.5624944099600407,mkululu
255,53382,0.9712705503938804,mikole
257,61134,0.49605182288735217,mtalala
264,63775,1.260354516203288,lusind
266,3641,2.3272842342325952,nyakitanga
267,48100,0.3414030748614473,kitamuri
268,3084,0.42404060260571325,madindika
269,67817,0.40130663272484185,mkululu
275,47116,0.3060108245946522,makugulu 'b'
278,32628,0.24685219115766235,some
282,49966,1.284932709094557,ishigwandama
284,50544,0.054136148484198884,lugongoni
287,51041,0.09262956567367217,mwambuluki
290,3745,0.09401535905639323,magadu
291,40275,2.6906568807608,mji a
293,40033,0.2809262257424241,kainam
295,54113,0.08032283476452623,ngayagaye
296,13431,2.723546981704675,dinyanga
298,48494,1.026934311535555,ndalambo kati
304,46601,0.3756556629354163,isevia
305,15774,4.789017697619257,mubamba
311,71598,0.11924018478861124,simambwe
313,23261,0.46591288488948784,mirambi
315,58604,0.9899950012395549,mabamba mjini
318,7299,0.3728764569463497,kuvukareli
319,832,0.3599129403855511,mahango
320,23883,0.2337402883090696,mbae mashariki
324,48775,2.2451420009999383,nangurukuru
325,18990,0.08065048894815832,no 1
329,69120,2.3676786809653607,chiloloma
331,792,0.290364005951352,mdeme
334,71407,0.9644315501615359,liwa
335,16598,0.1750220536451347,tuleane
336,54708,0.6551633961994241,lusind
338,7176,0.9906818088514403,mailimia
342,7868,9.329704316747613,mkoka
350,8129,0.16841640071207006,mtalala
351,69570,0.4236162338217562,oloshonokie
352,25778,0.6977573070110821,mahango
353,43379,0.23594703474933124,rusesa
355,53129,1.0898033813750332,ihawa
356,68949,1.0907988065068985,mwandeti
358,67440,0.228831848752411,matwalani
360,322,4.317084162358304,mkoka
361,46866,0.39510280991273306,chakwale mjini
362,1448,0.25504053572169005,kinenulo
363,7728,0.33502804438976186,jineri
367,8594,0.1778198569500171,nyakasero
369,36586,0.36392456511352206,mnola
372,29973,1.273947088499229,godown a
373,50625,0.2756215709093957,ruvuma a
374,39711,0.6488671568033831,igombatavangu
376,46148,0.44129117391167033,tuleane
379,240,7.148722023663267,chakwale mjini
380,47847,2.135116368336722,mikameni
382,8735,0.6431543380336774,kainam
383,71297,0.7808665293042154,jabutwa
385,34398,0.4431451821695757,mbuyura a
388,39169,0.5883035978184382,endeves
389,68642,0.2757922884241407,matekelo
392,22831,0.6100765342363713,mvinila
396,33223,0.13735329482728847,s
397,64052,0.2144736415776638,dinyanga
398,36979,0.30002982267358574,lisimonji
399,8446,0.6466114031069373,temekelo
401,41170,3.3997798388976226,kimandafu
402,69566,0.46985443009080624,amuhama
403,66102,1.1056789045651396,konjula
405,60272,0.8541104917112767,kabela
410,16858,0.3614347012972161,itete a
411,17158,1.188056460778807,u
419,54429,0.41106671251398275,kwamgoli
422,12784,0.5701904439853136,matosa
423,10990,0.15852504337718196,mahango
426,57798,2.6501639989368324,tlawi juu
429,20756,0.07984181010630828,iwanga kati
432,4830,1.5050715086927402,endamagai
440,40711,0.2377783033231995,sebuleni
441,39038,1.31860591529806,naimba
443,31852,1.0774993212456125,o
447,48107,0.7973843467557311,shuleni street
450,49239,1.2198973892837004,dinyanga
455,10461,7.188778830985965,mijelejele
465,54834,1.6898749335261352,meshili
467,51364,0.1624804541040216,kidalini
468,18236,1.339264836862072,sebuleni
469,66230,0.2413612383625013,mofi
472,45362,1.2931027827228398,mwagala b
475,15048,1.1330393279423074,mwanyago
484,41087,0.22566926579396623,maduka
486,70327,1.4932571972975082,endeves
487,55796,0.6568249651095229,chakwale mjini
489,617,0.743409737246937,makando
490,2252,0.06878764443022133,mbae mashariki
493,29870,0.07980155023215463,kidalini
494,12551,0.39530706609015215,ishigwandama
503,70544,0.08283265481844053,tundwi centre
505,12909,0.1704698531396138,nduta
506,45414,0.5662291186260578,moteti
507,9849,1.7758697141072175,unguuni
510,18123,3.2822970360613457,mijelejele
513,41835,0.7268893230468727,tlawi juu
515,62097,1.531682234495707,kuvukareli
522,48355,0.23080978189025173,wahe
524,3385,0.8792043613662597,jilingu
525,60490,0.1410015939315255,mabangala
526,8208,0.22892485029367252,mbae mashariki
528,24831,0.8650163639696563,jj
529,46092,0.39994715453399404,stand a
530,57543,0.2725577055600275,buswalila
532,1486,0.12235148733120135,ngogomoni
534,69973,0.1446814415893395,kibana
535,38827,1.136972275001075,mahango
537,40544,0.4384323020340913,kipera njiapanda
541,71283,0.16404416479287615,nzumba
543,40595,3.079174600982174,s
547,3039,0.054901349160896236,stand a
549,5086,0.1935204396315313,liwola
553,452,0.963098850987836,mvinila
555,17120,2.166270651766197,ngwala kati
556,62795,0.28984851598658185,mahango
560,51293,1.006685707300721,mahango
563,64710,0.24586157637528,usesi
565,61934,5.662856705086497,chakwale mjini
568,13054,0.4252735590242465,landani
570,30278,0.146008319599264,mkapita
572,7239,0.45872505863635366,itugutu
577,70289,2.4034949319100845,madilu mjini
580,892,0.6994613807910178,mankwi
581,40390,0.48892527502596106,i/kati
584,61782,1.0577941401629372,hilu
586,58201,0.4231082618463348,no 1
593,19520,0.09852065299676126,hemwambo
594,30405,0.38480898577056266,nselembwe
595,42725,1.4545354808907893,mkoka
599,2130,0.7440689164140719,jj
600,30071,0.25166645107579144,ibadakuli kati
601,41255,3.7441620825519295,mnadan
602,32212,1.6627633468271865,mkoka
606,60481,1.431070983423553,sebuleni
610,41126,0.09570457118070966,kanalunwa
611,54076,0.3216272029506819,olbili shuleni
615,27623,0.1954189531165215,midahani
616,45414,0.978681603530607,moteti
618,53750,0.210424944402078,tiku
620,11806,0.211193260713978,balangai
623,46123,0.3995885949243137,maganju
631,8648,1.5215754390970393,bumburyahe
632,50110,0.16074481585225278,sebuleni
633,28731,3.8299064318112106,mkululu
634,18771,0.1829386884630324,no 1
637,33942,1.9023141374289816,shungubweni
640,38112,0.42390864481557694,kamilangete
641,19960,3.9754560779832904,ikiligano
643,20952,1.7331428947258256,miguruwe
645,53482,0.231621839135791,kisanzuni
648,15213,0.03200949379063637,tupa
650,21802,0.09986394202070391,general tyre
655,45960,0.15371602752343808,naimba
657,28521,0.8595425580195989,mazighani
658,60799,0.40417413932897783,halare
662,22723,2.228423175179092,nanyati
665,9484,0.3341445965648296,mlenvya
672,28604,0.8261709824093101,mikameni
675,50430,1.4573540470814355,kidalini
676,56640,0.39853061831025016,kitichi
679,67736,2.3742301897762217,l
680,46862,0.8505829314420994,kagondo kaifo
681,36275,2.21776065775065,mijelejele
682,17663,0.18743235320465612,friend's corner
683,6716,0.14097544381724178,shabayanda
692,72875,0.9324433702376071,maloya
694,41109,0.19408620540638727,mahango
700,57601,0.9295892883755721,igegu
706,28622,0.5213208522314353,lisimonji
707,12874,0.8683520962759915,igo
708,66176,1.3813523470012732,itugutu
712,1406,0.585957552357197,tuleane
714,35933,0.27294827642325126,migege
717,20411,0.5241134583504435,jilingu
718,69283,0.010535450436211577,naimba
721,29238,0.24794569379573683,komstari
726,59472,0.2006198035823466,rambo
729,60895,0.6504222001185918,dulamu
730,28724,2.3089108561745832,mkululu
736,15564,0.47345871823199825,kibama
738,29594,0.24059419271463062,naimba
742,51857,0.6247830053413183,hedaru b
744,71640,0.6282061609925875,itungulu
748,10077,0.34892700517310127,migambo
749,35459,0.3461365122290714,dakau kati
750,49519,0.37403336782891183,shangweni
756,63772,0.6079169077356943,mkapita
759,23676,1.8415203846123107,mwang'holo
760,1321,0.13723764349460976,nyashishi
762,3403,0.2359566430687462,godown a
763,66547,0.07256694494500691,kamnyalile
764,70762,0.4426364261631138,ndolelezi
765,47905,0.26957609094054175,mlenvya
766,14594,2.704281806151442,maduka
767,28828,0.12964083468877974,matangini b
770,49491,1.8497821240439878,murigha
775,7733,0.08724880077940982,tambuka relini
776,44094,0.9989795814415642,hilu
778,4008,0.23967590731741018,ngayagaye
779,19713,0.041845683215555256,jj
780,13774,4.876450627998114,mnadan
781,62045,0.8005697141193041,itugutu
782,60812,0.3107211698902136,tupa
791,32634,0.8942947928286792,makili a
793,40145,0.171395167884345,godauni a
796,15213,3.067317621890949,tupa
803,62788,7.424457747205374,tuleane
805,50783,1.8391727787417311,chakwale mjini
807,73674,0.3439076962113639,kamilangete
811,70091,2.597167916752821,ruponda
812,3504,0.5023091087468712,msegelele
814,34856,0.2764123485059569,igumbiro kati
816,42446,1.3623728529342107,tupa
818,59789,1.5571529745347512,mofi
825,49919,0.2610823850011176,godauni a
828,38221,6.1396626009082444,mkoka
836,67610,1.4659147616869839,bweni
840,44476,0.11799914343025646,salanga
845,26802,0.2258749517630238,mubamba
852,57053,3.8619873149902673,mapojoni kati
854,57008,0.5853923208428868,nsololo tankini
855,13782,0.5618343851935218,nyanzenda center
856,46189,0.5853727782416918,mailimia
859,64576,0.2780649744939748,ikunya
860,44380,0.1810975419650526,kinarani
862,6481,1.072339195626106,dinyanga
865,64839,7.61967268618873,mijelejele
866,50081,0.21484631239018978,chakwale mjini
874,63944,1.5195782487346772,n
875,64205,2.537844620039038,u
877,9047,0.33362763103377735,kaluyango
880,49519,0.07659358899576058,shangweni
883,39361,0.32795960705979826,ruaha kati
886,59064,0.9198308888935113,batini b
887,44482,0.10215853967610972,sangamwampuya
888,52987,0.6540443621116757,yerico
