shulen,shuleni
mskitini,msikitini
mapindunzi,mapinduzi
kichangani b,kichangani
kiichangani,kichangani
kichanginyi,kichangani
changombe,chang'ombe
chan`gombe,chang'ombe
chang'ombe b,chang'ombe
chang'ombe a,chang'ombe
bwawani b,bwawani
bwawani a,bwawani
barabsrani,barabarani
barabani,barabarani
minazini b,minazini
mnadan,mnadani
katumbati,katumba
uswahili,uswahilini
mtaa wa vikongolo,mtaa wa vikongoro
mchangani a,mchangani
jiweni,kijiweni
mkombozi,ukombozi
ipuguso,mpuguso
mandel,mandela
mlangari,mlangali
majengo a,majengo b
lusungu,lusungo
lupombo,lugombo
mazeng,mazengo
mazengi,mazengo
mwandutu,mwandu
mwamagula,mwamala
mwasala,mwamala
mwamata,mwamala
mwahamala,mwamala
chakwale mmjini,chakwale mjini
chakwale mjinni,chakwale mjini
muguti,mpunguti
cetre,centre
vuleni,mvuleni
kizuiani,kizani
magaini,magatini
chamwino a,chamwino
central b,central
central a,central
kilamo,kilambo
barabara 5,barabara 6
barabara 3,barabara 6
barabara 9,barabara 6
barabara 2,barabara 6
barabara 4,barabara 6
barabara 8,barabara 6
barabara 1,barabara 6
barabara 7,barabara 6
barabara 10,barabara 6
barabara 11,barabara 6
barabara 12,barabara 6
barabara,barabara 6
lusind,lusinde
nyabirore,nyabihore
mlabani b,mlabani a
mlababi a,mlabani a
bukangoma,bunukangoma
masanwa,masanga
msitu wa tembo c,msitu wa tembo b
msitu wa tembo,msitu wa tembo b
kibinda,kibanda
kibandani,kibanda
msasan,msasa
njianne,njia nne
mtaa yangeyange,mtaa wa yangeyange
makulu a,makulu
makiweru,makiwaru
makiwaru b,makiwaru
makivaru,makiwaru
mwankale,mwankali
lolangulu,ilolangulu
kidatu a,kidatu b
magomeni a,magomeni b
magomeni c,magomeni b
magome b,magomeni b
kitunda,kitundu
kkabula,kabula
kapollo,kapolo
mtopeni,matopeni
matopenii,matopeni
nkinga kati,nanga kati
mkombo,mkombozi
mkombi,mkombozi
mapinduzi a,mapinduzi b
maini,matini
matikoni,matini
matiani,matini
komunyu,kimunyu
mapogoro a,mapogoro
mapogoro b,mapogoro
utengule,itengule
magoda c,magoda a
kaselya,kasela
kasomela,kasela
mkoroshoni,mikoroshoni
kigombe mashariki,kigombe magharibi
ligumbilo,igumbilo
ingumbilo,igumbilo
gumbilo,igumbilo
kasiama,kasama
kabirizi,kibirizi
jamuhuri,jamhuri
nyandagwa,nyangwa
kihesa c,kihesa
kihesa a,kihesa
kihesa b,kihesa
kabakarz,kabakara
kabakala,kabakara
nationanal park,national park
umasaini,masaini
mburani a,mburani
mburani b,mburani
ulkononoi,olkononoi
okononoi,olkononoi
nyakibanga,nyakabanga
nyakayanga,nyakabanga
nyakaanga b,nyakabanga
mitete,itete
kiruani c,kiruani a
kiruani b,kiruani a
ibumila1,ibumila
iponjolo,iponjola
iponola,iponjola
mponjola,iponjola
changarawe a,changarawe
kabilla,kabila
mtaa wa kinyamwezi,mtaa wa kinyerezi
kidimba,kibimba
ganga a,ganga b
mwira a,mwira b
nyabichegeche,nyabuchegeche
nyabochegeche,nyabuchegeche
nia njema a,nia njema c
nia njema b,nia njema c
nyamahanga,nyakahanga
mkamba b,mkamba a
mfumbu a,mfumbu
mfumbu b,mfumbu
mifumbu,mfumbu
iloba,kiloba
rubanga,murubanga
nyakihanga,nyakibanga
lupanga b,lupanga a
lunanga a,lupanga a
mabande,mbande
mkuu,mkuru
mpululu,ipululu
mahongo,mahango
mahango a,mahango
mapombo,mpombo
kibonde,ibonde
libonde,ibonde
chibungu,ibungu
msowero a,msowero b
msowero c,msowero b
msowero,msowero b
isia,sia
chalinze mzee b,chalinze mzee a
karimaji,kalimaji
kinondo,kisondo
kimbigili,mbigili
igunga b,igunga
kitongoji b,kitongoji a
emanyata,manyata
mjimwema b,mjimwema a
mashine a,mashine
mashine b,mashine
nure,nkure
tindigani a,tindigani
kiole,kilole
chikago,chicago
karama,kibarama
raha loe,raha leo
kimelembe kat,kimelembe kati
tolonto,toronto
torondo,toronto
nyamikoma b,nyamikoma
nyamikoma a,nyamikoma
nyamilama b,nyamilama
sokomsuyo,sokomsuya
solkomsuya,sokomsuya
muhanga,mhanga
mwabambasi,mabambasi
mabambasini,mabambasi
igalango,igelango
ligelango,igelango
igelanga,igelango
ilango,igelango
samana,samanga
matatana,matanana
myamba,mamba
ruhororo,luhororo
patendi,patandi
kiloleni a,kiloleni
kiloleni b,kiloleni
kiloeni,kiloleni
sebo,swebo
ewerendeke,eworendeke
senta 'a',senta 'b'
senta 'd',senta 'b'
maembe,maembeni
mwatondo,mwantondo
buyuni,kibuyuni
kibupuni,kibuyuni
kirumuni,ilkirumuni
kwitangi,kwitanki
kurui b,kurui a
kirungu,kizungu
mwakabeya,mwabeya
batini a,batini b
kisale,kishale
kishali,kishale
kishare,kishale
kamanyu,kamanyo
mzenga b,mzenga a
mengwa a,mzenga a
korandoto,kolandoto
muhaka,mhaka
migambo,mgambo
mugambo,mgambo
olng'wado,olkung'wado
kinjumbi b,kinjumbi a
kilanga,kilangali
michenga b,michenga c
michenga a,michenga c
michenga d,michenga c
mwabagalo,mwabagalu
mwabagala,mwabagalu
kigabiro,igabiro
nyere,nyerer
kikongo,kikonga
namayanda,namatanda
mkonga,mkongea
mkongeya,mkongea
hedaru a,hedaru b
kilemba,kilembela
kiegeni,kiegeani
muungano b,muungano a
uhemeli kat,uhemeli kati
chang'mbe,changombe
mulucha,mlucha
mgengeni,gengeni
mkocheni,mikocheni
mikochini,mikocheni
wno kati,wino kati
nganga,ngana
sereni b,sereni
malampaka,imalampaka
kanisani street,katanini street
surumali,surumala
mgungani,migungani
lugongoni,rugongoni
mishenyi,mishenye
kishenye,mishenye
mlimani b,mlimani a
kaburuka,kaguruka
lutowo,lutowelo
kilala nic,kilalanic
kalalanic,kilalanic
c/center,b/center
nghendegese,nhendegese
mahongole b,mahongole
lukindo,luhindo
chumo a,chumo b
milyungu,ilungu
kirereni,kireeni
kirembeni,kireeni
kirenyi,kireeni
vyombo,yombo
mkuyuni b,mkuyuni a
no 13,no 1
mwamagaga,mwamagaka
mchanga wa kichwa a,mchanga wa kichwa b
misheni a,misheni c
kiduguda b,kiduguda a
ruvuma a,ruvuma b
kashuro,kishuro
kihumro,kishuro
chivu b,chivu a
mwara,muwara
uwara,muwara
magungui,magungu
mahungu,magungu
umarini,omarini
marinyi,omarini
ullinzi,ulinzi
new ciity,new city
mwiruti,mwiluti
mhalule a,mhalule b
chanyangabwa b,chanyangabwa a
mumunazi,kumunazi
munazi,kumunazi
mighisui,mighisiu
ngegema,ngegemo
muhola,mhola
mirambo,milambo
milambo a,milambo
milambo c,milambo
mayale,manyamle
makanya e,makanya a
makanya d,makanya a
makanya c,makanya a
