,replacement
4,misha
5,moa
6,igegu
7,isalalo
9,mirambi
10,mipeko b
11,mlete
12,ishima
16,ngelele
22,mgeduli
25,kiwalaa
28,usesi
32,kimaroroni
34,kiegeani
36,bugoloka
37,lusangi
38,irole
39,kasanda
41,ilongelo
46,mkapita
48,lyamko
52,mwalise
58,manuwas
59,kabirizi mangaribi
61,kwetongo
62,msela
64,m/kati
66,igominyi
69,kilemba
74,nyundo
75,magoti
77,olbili shuleni
78,handei
85,nyanzenda center
87,miziro
91,mshoka
97,nyanghuluku
98,mchekeni
100,ukereni
102,nakibondo
104,marukeni
105,ngweni
109,kisondela
110,napoko
112,nemba
115,benaco
117,nyakasero
118,nyakitono
119,chakwale mjini
121,igo
123,eworendeke
125,usisya kati
128,buswalila
129,nyashishi
130,busota
132,kanalunwa
133,zongomela
135,lubindi
136,ndalambo kati
137,nanyati
138,nyakanazi kati
142,nsololo tankini
144,kingobwe
146,mishenye
147,mahongole a
150,kwiriba
151,kanalunwa
154,luhororo
157,ishilanga
159,jj
161,kyafuma
163,gwiru
164,chabula
169,mkapita
175,msanzi kati
179,kuvukareli
180,ibangamoyo
183,kyafuma
184,kurungeni
185,mwiluti
187,bulifani
188,matwalani
197,kiseni
199,ishigwandama
202,igominyi
205,kagondo kaifo
206,welu kati
208,chalinze mzee b
209,tlawi juu
210,iponda
214,komankwavi
224,lulanzi
225,nyakasero
227,m/kati
230,ngombezi
234,mara b
236,isalalo
238,mazizini
239,mapojoni kati
240,chakwale mjini
241,migege
249,shungubweni
254,intera
258,ibangamoyo
259,no 1
261,hinjiri
263,buswalila
270,lubanda
271,nsololo tankini
272,mkukwe
273,buswalila
274,nyaruyoba
276,liwola
277,moa
279,no 1
281,kumwai
286,mria
288,no 1
289,gwanumpu a
297,buyoga
299,mijelejele
300,kumutumba
302,buswalila
308,simha
309,kurungeni
310,kidalini
312,bugoloka
314,marumbo
316,nampako
317,mpondomo
322,mkoka
327,msimba a
328,chimate kati
330,ruponda
332,isoka
333,gumali
337,ilulu b
339,kamnyalile
340,jineri
341,uponera juu
345,mkorongoni
348,bastena
349,ngerengere kaskazini
354,junjuhu
359,matadi a
368,uhemeli kati
371,tlawi juu
377,mkoka
378,tuleane
384,liwola
386,ikokotela
387,isalalo
390,kahangara
391,nampako
394,masia
400,anuru
404,nyanghuluku
406,bugumwa
407,ibangamoyo
408,doma stand
409,tuleane
412,madizini kati
416,nyanzenda center
418,kilosa kati
421,ndarara
424,dimani
425,sia
427,kabera
428,mtaa wa yangeyange
431,buswalila
435,katanini street
437,ibadakuli kati
438,ngerezini
439,benaco
444,kaduduma
445,nangurukuru
446,iwanga kati
451,lutumbi
453,marurani juu
454,ishigwandama
457,mondelo
458,namatinganya
459,matanda
460,tariso
462,kiwela a
463,ilela
464,umarini
466,tuleane
470,emao
471,cha mashariki
473,irangali
474,nyamahawa
476,mgomba kaskazini
477,sabore
478,kiseni
479,buhekela
480,lepoloseki
481,ipilingitya
491,mubamba
492,benaco
495,tuleane
498,mkapita
499,mchanga wa kichwa b
501,no 1
502,gumali
508,no 1
514,mabangala
517,mavinuni
518,zobogo
520,kishale
521,bugumwa
523,anuru
527,migambo
531,ruaha kati
533,ngwala kati
536,dumanang
539,matangini b
542,nsanga
546,gawal
550,no 1
551,m/kati
552,irangi
554,mkululu
558,mwabakali
561,kibululu
562,kwamgoli
564,wahe
566,mji a
569,kidalini
571,ngaganulwa
573,uvinza
576,marumbo
578,marumbo
579,emao
582,mtaa wa zingiziwa
583,lumbila kati
585,nakibondo
587,kigale
588,muuti
590,nyamarasi
591,mlenvya
597,maliasili
603,bukigi
605,no 1
608,ngombezi
609,lumbila kati
612,matanda
613,isalalo
614,nyanzenda center
617,makando
619,nyanzenda center
621,matekelo
622,makao makuu b
624,sangatini
625,lukobe
626,ruponda
628,kuvukareli
629,kuvukareli
630,imalangi
635,mengeni
636,mbwamaji
638,tuleane
639,kiwalaa
644,zombengalawa
647,makwale wanu
649,nyambili kaskazin
652,madizini kati
653,kamazi
654,kasumo
656,isalalo
660,sebuleni
663,mchekeni
666,iduta
667,shuleni street
669,mlesa
671,ndalambo kati
673,lupanga b
674,shebomeza
686,kagenyi b
687,mwantondo
688,bastena
689,itaja
690,chapulwa
693,mubamba
696,mkwaja
698,kamwene
701,muningori
704,ubamba b
705,ngando
709,ruaha kati
710,mtaa wa kimwani
711,shebomeza
715,kisanjuni
716,sia
722,tuleane
724,mwigumbi centre
725,ngeke
727,kariwa kaskazini
731,mchombe a
732,itugutu
734,m/kati
735,mpondomo
737,isalalo
739,maduka
740,omukashenyi
741,itaba
743,ichimbo
745,kamnyalile
747,mvinila
751,mirambi
752,endasak
754,mpondomo
757,tangu
768,mahokoi
771,kabirizi mangaribi
773,kidalini
774,mkapita
777,siuyu
783,dakau kati
784,kibiti kusini
785,upondya
786,kemugesi
787,simambwe
788,centre
795,ndolelezi
800,mitengwe mashariki
801,ng'ai
802,nyanzenda center
804,misegesi
808,wahe
809,kabwana
810,mshoka
