,total_wells_within_5_mils,close_functional_wells,close_non_functional_wells,close_functional_needs_repair_wells,close_unknown_wells,close_known_wells
0,24,15,5,1,3,21
1,36,21,6,2,7,29
2,25,17,1,0,7,18
3,35,6,20,0,9,26
4,43,30,4,2,7,36
5,35,20,7,0,8,27
6,91,37,35,2,17,74
7,34,11,14,0,9,25
8,25,8,15,0,2,23
9,104,41,34,9,20,84
10,130,46,50,0,34,96
11,73,35,16,0,22,51
12,62,35,12,4,11,51
13,363,273,20,2,68,295
14,12,5,3,1,3,9
15,24,13,6,1,4,20
16,190,107,26,19,38,152
17,151,83,25,12,31,120
18,97,25,47,7,18,79
19,46,31,1,2,12,34
20,60,44,5,4,7,53
21,32,21,9,0,2,30
22,147,71,19,23,34,113
23,126,42,33,28,23,103
24,77,35,11,16,15,62
25,508,267,92,43,106,402
26,22,15,1,6,0,22
27,87,55,11,2,19,68
28,431,135,179,25,92,339
29,365,265,18,2,80,285
30,14,7,4,0,3,11
31,233,155,32,0,46,187
32,490,192,145,46,107,383
33,98,62,23,0,13,85
34,22,9,4,2,7,15
35,450,239,116,18,77,373
36,212,9,168,0,35,177
37,61,26,5,16,14,47
38,77,51,9,0,17,60
39,70,35,13,8,14,56
40,109,62,23,1,23,86
41,40,29,1,0,10,30
42,134,79,28,0,27,107
43,90,21,43,15,11,79
44,359,196,90,14,59,300
45,94,44,33,1,16,78
46,20,7,3,9,1,19
47,171,106,5,20,40,131
48,79,47,15,0,17,62
49,61,44,4,0,13,48
50,412,192,95,42,83,329
51,33,12,10,1,10,23
52,348,167,113,1,67,281
53,46,18,20,0,8,38
54,126,44,47,8,27,99
55,334,157,84,26,67,267
56,317,204,42,9,62,255
57,686,398,141,21,126,560
58,61,40,6,1,14,47
59,78,30,23,6,19,59
60,128,54,38,0,36,92
61,64,25,18,12,9,55
62,278,68,45,116,49,229
63,410,190,136,12,72,338
64,66,42,3,10,11,55
65,29,7,11,3,8,21
66,34,12,13,0,9,25
67,97,32,38,9,18,79
68,68,32,14,5,17,51
69,126,57,22,19,28,98
70,19,5,12,0,2,17
71,25,9,12,0,4,21
72,36,8,17,4,7,29
73,138,75,38,1,24,114
74,21,14,5,0,2,19
75,131,51,50,12,18,113
76,138,104,4,2,28,110
77,86,38,32,0,16,70
78,39,28,4,0,7,32
79,77,41,13,5,18,59
80,64,52,1,0,11,53
81,47,26,7,7,7,40
82,490,267,108,15,100,390
83,54,33,6,3,12,42
84,10,3,5,0,2,8
85,24,14,8,0,2,22
86,25,12,6,0,7,18
87,36,13,14,1,8,28
88,221,151,29,0,41,180
89,27,5,9,8,5,22
90,231,58,31,105,37,194
91,76,21,27,12,16,60
92,204,97,61,1,45,159
93,103,52,24,0,27,76
94,104,39,40,11,14,90
95,45,28,5,6,6,39
96,47,11,16,11,9,38
97,47,28,10,0,9,38
98,64,22,16,16,10,54
99,17,9,5,1,2,15
100,64,22,27,1,14,50
101,25,9,9,1,6,19
102,113,62,21,5,25,88
103,33,3,6,16,8,25
104,576,413,43,1,119,457
105,72,21,30,6,15,57
106,28,16,7,0,5,23
107,20,7,9,1,3,17
108,17,9,8,0,0,17
109,193,88,47,20,38,155
110,451,205,155,9,82,369
111,458,212,148,11,87,371
112,18,12,3,1,2,16
113,53,22,21,1,9,44
114,47,24,12,2,9,38
115,11,1,7,1,2,9
116,16,6,6,0,4,12
117,24,3,16,0,5,19
118,42,15,17,1,9,33
119,6,1,5,0,0,6
120,140,110,5,0,25,115
121,81,30,25,7,19,62
122,70,38,22,3,7,63
123,55,38,6,1,10,45
124,263,178,63,3,19,244
125,56,25,18,1,12,44
126,23,12,8,1,2,21
127,168,127,6,1,34,134
128,26,12,6,0,8,18
129,107,23,66,0,18,89
130,19,11,4,0,4,15
131,324,168,86,15,55,269
132,41,8,10,16,7,34
